nazev_zastavky;poslední_zastavka;zpozdeni;linka
Most,čistící stanice;Chanov,otočka;0.252525253;10
Litvínov,Koldům;Litvínov,Citadela;0.255474453;13
Sukova,blok 501;Sukova,blok 508;0.256;5
Krym;Pod Lajsníkem;0.256;22
Souš,Národního odboje;Souš,Finské domky;0.257142857;12
Souš,Národního odboje;Souš,Tvrzova;0.261904762;12
Sukova,blok 508;Sukova,blok 501;0.263157895;20
Záluží,Důl Julius IV;Most,rozcestí Kopisty;0.263829787;4
Záluží,Zdravotní středisko;Záluží,Důl Julius IV;0.266666667;40
Pionýrů;Čepirohy,okály;0.269230769;9
Havraň,Joseph I;Havraň,Joseph II;0.272727273;31
Autodrom;Souš,Tvrzova;0.275;12
Litvínov,Chudeřín;Litvínov,Janáčkova;0.275;14
Janov,sportovní hala;Janov,konečná;0.275862069;13
Litvínov,náměstí Míru;Litvínov,nádraží;0.275862069;27
Litvínov,Koldům;Horní Lom;0.276595745;13
Litvínov,Báňské stavby;Litvínov,nádraží;0.277777778;1
Velebudice,rozcestí;Čepirohy,závodní klub;0.28;31
J.Skupy;Obchodní dům PRIOR;0.280487805;20
Most,sídliště ČD;Most,Souš;0.282051282;4
Lom,městský hřbitov;Lom,rozcestí M.Radčice;0.285714286;13
Hamr,škola;Hamr,sídliště;0.285714286;15
Hamr,sídliště;Hamr;0.285714286;60
14.ZŠ;Kahan;0.287790698;30
Obchodní dům PRIOR;Okresní soud;0.289617486;20
Souš,Tvrzova;Souš,Národního odboje;0.291139241;22
Most,sportovní hala;Most,zimní stadion;0.293103448;1
14.ZŠ;Speciální škola;0.293333333;17
Zd.Štěpánka;Kahan;0.293478261;17
Obrnice,koupaliště;Obrnice,škola;0.29787234;10
Most,obchodní dům PRIOR;Most,sportovní hala;0.3;1
1.náměstí;Čs.mládeže;0.3;31
J.Skupy;Nemocnice;0.300813008;30
Rudolická,MUS;Pod Lajsníkem;0.303448276;5
Kahan;Aquadrom;0.307692308;5
Osek,zbrojnice;Osek,kolonie;0.307692308;13
Litvínov,obchodní dům;Litvínov,nádraží;0.307692308;40
Pod Městským hřbitovem;Halasova;0.311740891;16
Čepirohy,Hrabák;Čepirohy,areál ALTAMEX;0.3125;31
Litvínov,Báňské stavby;Záluží,areál Hlubina;0.315789474;1
Nádraží;Rudolická,MUS;0.317647059;20
Obchodní dům PRIOR;J.Skupy;0.318240621;30
Zahražany;Gymnázium;0.319148936;20
Záluží,Petrochemie;Záluží,CHEMOPETROL;0.321428571;1
Vodárna;Kahan;0.325443787;5
Litvínov,obchodní dům;Litvínov,nádraží;0.326530612;1
Sukova,blok 501;Krym;0.326923077;22
14.ZŠ;Sukova,blok 558;0.329289428;30
Most,Souš;Most,Chomutovská;0.333333333;3
14.ZŠ;Kahan;0.333333333;12
Městský hřbitov;Staré krematorium;0.333333333;16
Litvínov,Šumná,Stavařov;Litvínov,Šumná,průmyslový areál;0.333333333;27
Litvínov,u dílen;Litvínov,stadion;0.333333333;40
Most,Severografia;Most,Dopravní podnik;0.333333333;40
18.ZŠ;Sukova,blok 558;0.333333333;53
Kino Kosmos;Dům peněžnictví;0.333333333;53
Sukova,blok 558;Krym;0.333333333;53
Osek,autokempink;Osek,náměstí;0.333333333;60
Litvínov,Bílý sloup;Litvínov,požární stanice;0.333333333;60
Litvínov,Janáčkova;Hamr,škola;0.333333333;60
Litvínov,sportovní škola;Litvínov,Citadela;0.333333333;60
